"QueryName","CurrencyCode","ServiceName","ProductName","SkuName","ArmSkuName","MeterName","ServiceFamily","UnitOfMeasure","TierMinimumUnits","PriceType","ReservationTerm","West Europe","Sweden Central","Italy North","Germany West Central","Spain Central","Switzerland North","Belgium Central","France Central","Norway East","Austria East","Denmark East","Poland Central"
"Blob Storage Hot LRS Data Stored","USD","Storage","Blob Storage","Hot LRS","","Hot LRS Data Stored","Storage","1 GB/Month","512000.0","Consumption",,"0.018032","0.016928","0.017664","0.018","0.016928","0.019817","0.018","0.017664","0.0198","0.018","0.018","0.018032"
"Block Blob Hot ZRS Data Stored","USD","Storage","General Block Blob v2","Hot ZRS","","Hot ZRS Data Stored","Storage","1 GB/Month","0.0","Consumption",,"0.024","0.023","0.024","0.0225","0.023","0.0264","0.024","0.024","0.0264","0.024","0.024","0.0225"
"Block Blob Hot ZRS Data Stored","USD","Storage","General Block Blob v2","Hot ZRS","","Hot ZRS Data Stored","Storage","1 GB/Month","51200.0","Consumption",,"0.02304","0.02208","0.02304","0.0216","0.02208","0.025392","0.02304","0.02304","0.0253","0.02304","0.02304","0.0216"
"Block Blob Hot ZRS Data Stored","USD","Storage","General Block Blob v2","Hot ZRS","","Hot ZRS Data Stored","Storage","1 GB/Month","512000.0","Consumption",,"0.02208","0.02116","0.02208","0.0207","0.02116","0.024291","0.02208","0.02208","0.0243","0.02208","0.02208","0.0207"
"Block Blob Hot LRS Write Operations","USD","Storage","General Block Blob v2","Hot LRS","","Hot LRS Write Operations","Storage","10K","0.0","Consumption",,"0.054","0.05","0.053","0.054","0.053","0.054","0.054","0.059","0.0594","0.054","0.054","0.054"
"Block Blob Hot LRS Read Operations","USD","Storage","General Block Blob v2","Hot LRS","","Hot Read Operations","Storage","10K","0.0","Consumption",,"0.0043","0.004","0.004","0.0043","0.004","0.0043","0.0043","0.0047","0.00473","0.0043","0.0043","0.0043"
"Databricks Premium Jobs Compute","USD","Azure Databricks","Azure Databricks","Premium Jobs Compute","","Premium Jobs Compute DBU","Analytics","1 Hour","0.0","Consumption",,"0.3","0.3","0.3","0.3","n/a","0.3","n/a","0.3","0.3","n/a","n/a","n/a"
"Databricks Premium All-Purpose Compute","USD","Azure Databricks","Azure Databricks","Premium All-purpose Compute","","Premium All-purpose Compute DBU","Analytics","1 Hour","0.0","Consumption",,"0.55","0.55","0.55","0.55","n/a","0.55","n/a","0.55","0.55","n/a","n/a","n/a"
"Databricks Premium Jobs Compute Photon","USD","Azure Databricks","Azure Databricks","Premium Jobs Compute Photon","","Premium Jobs Compute Photon DBU","Analytics","1 Hour","0.0","Consumption",,"0.3","0.3","0.3","0.3","n/a","0.3","n/a","0.3","0.3","n/a","n/a","n/a"
"Databricks Premium Serverless SQL","USD","Azure Databricks","Azure Databricks Regional","Premium Serverless SQL","Premium","Premium Serverless SQL DBU","Analytics","1 Hour","0.0","Consumption",,"0.91","0.91","n/a","0.91","n/a","1.09","n/a","0.91","0.91","n/a","n/a","n/a"
"Data Factory Cloud Orchestration Activity Run","USD","Azure Data Factory v2","Azure Data Factory v2","Cloud","","Cloud Orchestration Activity Run","Analytics","1K","0.0","Consumption",,"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Data Factory Cloud Data Movement","USD","Azure Data Factory v2","Azure Data Factory v2","Cloud","","Cloud Data Movement","Analytics","1 Hour","0.0","Consumption",,"0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"Data Factory General Purpose Data Flow vCore","USD","Azure Data Factory v2","Azure Data Factory v2 Data Flow - General Purpose","vCore","DataFactory_General_Purpose_Optimized","vCore","Analytics","1 Hour","0.0","Consumption",,"0.268","0.268","0.268","0.2665","0.268","0.2815","0.268","0.28775","0.27475","0.268","0.268","0.2665"
"Fabric Data Warehouse Accelerated CU","USD","Microsoft Fabric","Fabric Capacity","Data Warehouse (Accelerated) Capacity Usage","Data Warehouse Accelerated","Data Warehouse (Accelerated) Capacity Usage CU","Data","1 Hour","0.0","Consumption",,"0.22","0.19","0.21","0.22","0.19","n/a","0.234","0.2","0.24","0.234","0.234","0.22"
"Fabric Spark Memory Optimized CU","USD","Microsoft Fabric","Fabric Capacity","Spark Memory Optimized Capacity Usage","Spark Mem Op","Spark Memory Optimized Capacity Usage CU","Data","1 Hour","0.0","Consumption",,"0.22","0.19","0.21","0.22","0.19","0.23","0.234","0.2","0.24","0.234","0.234","0.22"
"Fabric OneLake Hot Data Stored","USD","Microsoft Fabric","OneLake","OneLake Storage Hot","OneLake Storage","OneLake Storage Hot Data Stored","Data","1 GB/Month","0.0","Consumption",,"0.024","0.023","0.024","0.024","0.023","0.0264","0.0338","0.024","0.0264","0.0338","0.0338","0.024"
"Synapse Dedicated SQL DW100c","USD","Azure Synapse Analytics","Azure Synapse Analytics Dedicated SQL Pool","DW100c","SQL_DW100c","100 DWUs","Analytics","1/Hour","0.0","Consumption",,"1.51","1.51","1.51","1.51","1.51","1.661","n/a","1.51","1.661","n/a","n/a","1.51"
"Synapse Serverless SQL Data Processed","USD","Azure Synapse Analytics","Azure Synapse Analytics Serverless SQL Pool","Standard","","Standard Data Processed","Analytics","1 TB","0.0","Consumption",,"5.0","5.0","5.0","5.0","5.0","5.5","n/a","7.0","5.5","n/a","n/a","5.0"
"Synapse Memory Optimized Spark vCore","USD","Azure Synapse Analytics","Azure Synapse Analytics Serverless Apache Spark Pool - Memory Optimized","vCore","","vCore","Analytics","1 Hour","0.0","Consumption",,"0.15456","0.142","0.149","0.15042","0.1455","0.17112","n/a","0.15318","0.16284","n/a","n/a","0.15042"
"Synapse Azure Hosted IR Data Movement","USD","Azure Synapse Analytics","Azure Synapse Analytics Pipelines","Azure Hosted IR","","Azure Hosted IR Data Movement","Analytics","1 Hour","0.0","Consumption",,"0.25","0.25","n/a","0.25","0.25","0.25","n/a","0.25","0.25","n/a","n/a","0.25"
"Synapse SQL Storage LRS","USD","Azure Synapse Analytics","Azure Synapse Analytics SQL Storage","Standard LRS","","Standard LRS Data Stored","Analytics","1 TB/Month","0.0","Consumption",,"23.0","23.0","23.0","23.0","23.0","25.3","n/a","25.601","25.3","n/a","n/a","23.0"
"Key Vault Standard Operations","USD","Key Vault","Key Vault","Standard","","Operations","Security","10K","0.0","Consumption",,"0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
